MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          
0.7493      15.31       0.9719      0.4084      1.351       30.23       7.556       0.003792    0.8215      0.9698      0.8526      
2.441       24.05       0.9455      0.1262      1.409       32          8           0.006646    0.749       0.1566      0.5577      
3.505       44.39       0.9222      0.125       1.409       28.99       7.247       0.007184    0.7312      0.6175      0.2632      
1.492       63.21       0.9454      0.3939      2.014       56.35       14.09       0.004052    0.8145      0.3824      0.6401      
1.184       65.48       0.9537      0.2878      1.858       82.46       20.62       0.007363    0.6257      0.9642      0.9313      
0.4337      53.16       0.9512      0.2336      2.055       31.02       7.756       0.003446    0.7798      1.628       0.7299      
0.3297      49.8        0.984       0.2423      1.761       68.55       17.14       0.007802    0.8384      1.065       0.6726      
2.222       46.16       0.9405      0.3442      1.439       26.12       6.529       0.005112    0.7941      0.146       0.7536      
0.93        21.94       0.9581      0.2823      1.614       81.68       20.42       0.003528    0.6415      1.753       0.8147      
3.732       62.41       0.9184      0.2862      1.354       47.79       11.95       0.005546    0.7864      0.4109      0.366       
1.018       26.47       0.9354      0.3782      1.458       59.4        14.85       0.007656    0.6655      1.316       0.4645      
2.103       38.54       0.9363      0.1505      1.818       52.13       13.03       0.009676    0.6594      0.5578      0.1492      
0.8422      18.62       0.9808      0.3819      1.893       79.55       19.89       0.006921    0.7878      0.9819      0.4917      
1.405       63.65       0.9693      0.3676      1.759       55.6        13.9        0.009371    0.7542      0.738       0.5395      
2.04        45.72       0.9494      0.2342      1.438       60.38       15.1        0.004756    0.6807      0.9134      0.4356      
0.7986      14.2        0.9603      0.2176      1.972       26.74       6.685       0.00336     0.717       0.8926      0.3131      
2.462       23.7        0.9208      0.4376      1.551       73.25       18.31       0.006292    0.7531      0.4625      0.4625      
3.51        32.51       0.9154      0.1205      1.76        61.87       15.47       0.007997    0.7685      0.6051      0.4181      
1.059       71.29       0.9406      0.1898      1.679       48.24       12.06       0.01002     0.8263      1.537       0.06441     
1.921       38.32       0.9567      0.2588      1.746       63.38       15.84       0.003919    0.6522      0.5694      0.1622      
0.9197      71.64       0.9616      0.2389      1.573       37.27       9.316       0.00725     0.6924      1.545       0.5894      
0.4615      25.36       0.9692      0.3214      1.231       74.91       18.73       0.004151    0.699       0.1057      0.5081      
1.071       58.57       0.949       0.349       1.359       77.5        19.37       0.00563     0.7567      0.7701      0.1752      
0.5185      22.46       0.9462      0.3146      1.459       56.59       14.15       0.004641    0.6761      1.536       0.7362      
1.219       68.6        0.948       0.1618      1.251       79.7        19.92       0.006738    0.7689      1.724       0.6423      
2.507       13.87       0.932       0.2174      1.477       34.89       8.723       0.007363    0.6698      1.195       0.6148      
4.18        56.47       0.8939      0.2292      1.45        39.5        9.875       0.007075    0.7596      0.0145      0.333       
0.5132      76.74       0.9688      0.379       1.704       59.33       14.83       0.009827    0.6574      1.375       0.09944     
2.732       37.21       0.9194      0.169       1.642       51.33       12.83       0.007348    0.8219      0.6897      0.6289      
1.631       61.93       0.9551      0.1124      1.535       54.28       13.57       0.008725    0.7497      1.554       0.3609      
4.186       54          0.8875      0.2482      1.469       58.37       14.59       0.00522     0.7082      0.8142      0.4569      
3.196       42.44       0.9286      0.3332      1.456       68.39       17.1        0.005229    0.6635      1.231       0.489       
0.7899      25          0.9523      0.2166      1.246       22.29       5.572       0.006699    0.6655      0.9674      0.4456      
0.6122      12.24       0.948       0.3197      2.107       51.82       12.95       0.003494    0.6458      1.5         0.8595      
0.8048      51.96       0.9396      0.46        1.573       54.58       13.65       0.00387     0.7788      0.1606      0.7761      
0.3612      6.55        0.9705      0.2403      1.482       33.31       8.326       0.008073    0.8395      1.131       0.8213      
4.995       54.35       0.8837      0.4376      1.774       61.22       15.3        0.004933    0.7066      0.7553      0.6466      
0.5064      50.08       0.9716      0.2469      2.137       56.29       14.07       0.003548    0.7349      0.5395      0.8236      
3.269       27.68       0.9028      0.4755      1.318       51.09       12.77       0.008757    0.7507      0.5275      0.5066      
1.703       41.17       0.9551      0.1341      1.772       80.49       20.12       0.008532    0.6907      1.162       0.7479      
1.216       17.9        0.9459      0.4697      1.931       62.17       15.54       0.004241    0.7047      1.06        0.4743      
0.7836      73.05       0.942       0.3206      1.657       51.23       12.81       0.008071    0.8223      1.413       0.907       
2.01        56.68       0.9514      0.4172      1.664       40.35       10.09       0.00576     0.7302      0.2612      0.8683      
0.3102      70.16       0.9558      0.4035      1.947       63.65       15.91       0.009118    0.6733      1.745       0.459       
1.349       27.47       0.9499      0.1905      1.486       52.16       13.04       0.006278    0.6811      0.2827      0.1986      
4.082       31.41       0.8942      0.4889      1.54        34.72       8.681       0.006592    0.746       0.6971      0.2871      
0.5912      51.06       0.9429      0.3701      1.478       79.81       19.95       0.005134    0.6891      0.6244      0.3564      
0.2453      45.03       0.9812      0.241       1.727       31.77       7.943       0.003691    0.7917      0.3789      0.916       
1.669       53.7        0.9556      0.331       1.318       47.26       11.82       0.005364    0.6901      0.7531      0.3627      
0.5302      33.41       0.9479      0.3827      1.298       82.72       20.68       0.00879     0.8079      1.49        0.1089      
1.884       71.34       0.9235      0.307       1.517       25.63       6.408       0.007078    0.7375      0.1678      0.7067      
1.19        20.49       0.9509      0.2091      1.724       76.54       19.13       0.005112    0.7859      0.8417      0.1634      
0.7511      16.46       0.9396      0.2102      1.795       44.87       11.22       0.008272    0.724       0.3755      0.0713      
4.148       53.18       0.9168      0.2142      1.526       53.39       13.35       0.004161    0.7557      0.6573      0.5259      
4.302       28.67       0.9048      0.362       1.776       42.27       10.57       0.007098    0.698       1.087       0.4391      
1.582       58.99       0.9613      0.3865      1.536       39.71       9.928       0.006863    0.6438      1.025       0.9069      
0.5542      9.659       0.955       0.3465      1.732       23.94       5.986       0.0104      0.7303      1.504       0.5516      
2.157       20.37       0.9466      0.1652      1.437       79.84       19.96       0.004783    0.7891      1.254       0.7464      
0.3484      36.59       0.9624      0.4973      2.149       83.37       20.84       0.006832    0.6965      1.665       0.1983      
0.907       74.47       0.9723      0.3529      2.124       71.55       17.89       0.008704    0.7775      0.2742      0.1657      
1.184       15.45       0.9714      0.2148      1.717       62.36       15.59       0.005142    0.7175      0.7463      0.3245      
2.555       27.69       0.9334      0.2621      1.948       30.32       7.58        0.004299    0.7895      0.6526      0.2997      
0.1594      36.55       0.9864      0.4014      1.285       36.28       9.071       0.003415    0.6542      0.0888      0.1639      
1.201       49.5        0.9387      0.2127      1.433       63          15.75       0.007029    0.6679      0.3623      0.2777      
3.669       60.57       0.9241      0.2397      1.834       45.88       11.47       0.007454    0.7155      1.202       0.7173      
0.7065      24.48       0.9651      0.3895      2.092       22.83       5.707       0.009965    0.7408      0.6322      0.7538      
0.6419      76.38       0.961       0.3743      1.95        37.52       9.381       0.004122    0.8019      1.487       0.3753      
1.427       50          0.9357      0.2067      1.27        44.34       11.08       0.005717    0.6714      1.496       0.2224      
1.865       22.46       0.9271      0.3696      1.62        40.91       10.23       0.003461    0.8169      1.062       0.8215      
3.079       62.95       0.9178      0.3756      1.352       30.25       7.563       0.006505    0.7602      0.6414      0.4606      
3.031       43.25       0.9386      0.2447      1.359       42.21       10.55       0.004236    0.6571      0.9198      0.1876      
1.536       29.55       0.9458      0.1092      2.036       35.28       8.821       0.006915    0.7194      0.07262     0.7225      
0.9597      71.6        0.9767      0.4222      2.101       34.14       8.536       0.004361    0.8107      0.8973      0.7539      
1.21        38.86       0.9401      0.44        1.416       30.08       7.521       0.008848    0.6464      0.8484      0.6183      
1.105       35.23       0.9626      0.1149      1.951       76.63       19.16       0.006182    0.7798      1.416       0.5077      
2.243       60.41       0.9276      0.468       1.502       61.81       15.45       0.003807    0.6951      0.7702      0.1967      
2.984       25.95       0.9235      0.3785      1.661       66.04       16.51       0.005744    0.6795      0.9441      0.5046      
0.6832      37.76       0.9715      0.2128      1.668       23.18       5.795       0.005108    0.8133      0.2479      0.4939      
1.484       14.21       0.9278      0.3185      1.385       54.3        13.57       0.00522     0.8109      1.059       0.3114      
0.5677      50.29       0.9836      0.4915      2.117       23.95       5.987       0.01044     0.8242      1.203       0.4463      
0.6635      54.19       0.9773      0.1245      1.341       82.34       20.59       0.008792    0.8261      0.4952      0.6589      
0.4872      28.26       0.9587      0.4707      1.407       57.8        14.45       0.007515    0.6555      1.345       0.1643      
1.401       31.18       0.9547      0.4635      1.277       66.23       16.56       0.003978    0.7951      1.645       0.6748      
3.043       34.63       0.9154      0.1181      1.886       69.94       17.48       0.008658    0.7937      0.5347      0.4608      
2.182       33.01       0.931       0.4823      1.562       68.12       17.03       0.007066    0.7717      1.438       0.4173      
0.06879     45.57       0.9892      0.214       1.791       30.12       7.529       0.008936    0.6753      1.021       0.9864      
1.129       68.24       0.9349      0.2732      2.12        45.09       11.27       0.009604    0.7526      1.582       0.7502      
0.8233      29.29       0.9529      0.1948      1.61        39.94       9.985       0.007845    0.7811      1.134       0.1727      
0.3925      56.98       0.9728      0.4216      1.248       52.8        13.2        0.005692    0.7604      0.4152      0.6118      
0.4994      21.83       0.9662      0.282       1.619       49.56       12.39       0.007531    0.8154      1.335       0.1314      
1.362       43.23       0.932       0.1764      2.097       61.96       15.49       0.004089    0.6216      0.887       0.1396      
1.433       22.38       0.9367      0.4807      1.984       30.02       7.506       0.00724     0.7007      0.8174      0.629       
1.081       65.85       0.9772      0.2812      1.554       80.21       20.05       0.004671    0.7232      0.5017      0.7821      
3.403       42.62       0.9195      0.2394      1.369       72.51       18.13       0.00769     0.7019      0.04109     0.8192      
0.4145      64.86       0.965       0.1681      2.038       30.96       7.74        0.004493    0.6521      0.3697      0.7584      
3.586       58.77       0.9075      0.194       1.87        45.99       11.5        0.006435    0.7682      0.3685      0.7718      
1.837       17.19       0.9331      0.4427      1.436       79.45       19.86       0.00927     0.6543      1.386       0.5026      
1.23        23.25       0.9612      0.3923      1.687       76.41       19.1        0.006133    0.792       1.578       0.7285      
0.4427      43.54       0.9547      0.1922      1.711       35.15       8.788       0.004916    0.7885      0.4376      0.692       
1.226       14.81       0.9649      0.2435      1.429       58.32       14.58       0.0081      0.6515      0.2165      0.4188      
2.024       26.14       0.9568      0.3781      1.748       70.68       17.67       0.007893    0.6955      0.5601      0.7562      
0.624       48.04       0.9858      0.1803      1.83        30.5        7.626       0.006838    0.6129      1.785       0.1792      
0.735       19.44       0.9436      0.2798      1.335       34.14       8.535       0.005339    0.8272      1.767       0.4041      
1.241       9.99        0.9723      0.1596      1.392       80.72       20.18       0.004889    0.7687      0.9919      0.6236      
3.865       63.36       0.908       0.1603      1.363       49.61       12.4        0.004269    0.7112      0.6155      0.3142      
1.152       42.73       0.9616      0.4168      1.664       25.88       6.469       0.004913    0.6412      1.538       0.3347      
0.806       28.92       0.978       0.4515      2.043       27.67       6.918       0.003953    0.6672      1.268       0.2922      
1.009       38.97       0.9591      0.4509      1.467       28.45       7.113       0.006047    0.7178      0.1417      0.6269      
4.15        62.82       0.9         0.1476      1.749       51.04       12.76       0.005767    0.7286      0.4534      0.477       
0.7403      62.34       0.9441      0.3811      1.554       79.23       19.81       0.006917    0.7007      0.7534      0.9327      
0.449       66.03       0.9516      0.2394      1.732       58.71       14.68       0.006409    0.7371      0.8376      0.2414      
1.149       22.49       0.9549      0.1831      1.785       29.57       7.392       0.00468     0.6865      0.4062      0.4819      
2.445       60.27       0.937       0.4518      1.851       68.67       17.17       0.0087      0.7639      1.182       0.5869      
1.239       20.25       0.9592      0.1151      1.455       64.15       16.04       0.006132    0.7444      0.03293     0.5739      
2.395       45.07       0.9274      0.4284      1.705       75.06       18.77       0.006352    0.806       1.22        0.6978      
3.18        44.89       0.9309      0.1257      1.957       67.98       17          0.006144    0.7636      0.9834      0.3201      
2.711       60.8        0.9141      0.2535      1.959       70.52       17.63       0.003629    0.6453      0.3733      0.7939      
0.9839      40.47       0.9488      0.1361      1.508       50.66       12.67       0.003554    0.8127      1.027       0.6956      
2.783       21.56       0.9258      0.4864      1.461       69.91       17.48       0.007208    0.81        1.101       0.7114      
2.355       33.56       0.9259      0.2261      1.671       31.05       7.761       0.004865    0.7294      1.136       0.7397      
0.2071      15.37       0.9632      0.3576      1.267       23.84       5.961       0.007654    0.6177      1.587       0.9889      
3.716       49.93       0.92        0.2937      1.418       63.11       15.78       0.004559    0.7394      0.4667      0.4749      
1.015       8.633       0.9723      0.4092      1.95        83.4        20.85       0.006118    0.8044      0.7778      0.5143      
1.084       37.98       0.9456      0.291       1.912       49.17       12.29       0.008934    0.7412      1.426       0.9361      
0.4833      68.1        0.9442      0.1506      1.549       86.68       21.67       0.008117    0.7926      0.7006      0.2204      
3.245       42.68       0.9338      0.3604      1.335       39.57       9.893       0.00647     0.7572      0.3532      0.4085      
0.8879      74.94       0.9503      0.2789      1.46        39.42       9.856       0.00495     0.6387      1.012       0.1702      
1.204       56.08       0.94        0.2677      1.797       43.47       10.87       0.007809    0.7217      0.1979      0.4471      
0.4158      37.31       0.9901      0.4251      1.437       68.19       17.05       0.007421    0.6856      1.362       0.9037      
3.588       24.26       0.9163      0.4221      1.803       56.94       14.23       0.005424    0.6963      0.9752      0.2131      
2.101       59.54       0.9428      0.2263      1.52        51.22       12.8        0.003473    0.6614      0.2508      0.3153      
1.449       42.94       0.9401      0.3018      2.032       25.39       6.347       0.005747    0.7555      1.196       0.4129      
0.1831      63.41       0.9932      0.2055      1.558       24.51       6.127       0.007751    0.7604      0.6319      0.1235      
1.308       62.01       0.9562      0.3758      1.704       67.09       16.77       0.004045    0.8187      1.543       0.254       
1.853       55.64       0.9328      0.4842      1.891       57.64       14.41       0.004044    0.8068      0.2228      0.8063      
2.44        60.87       0.9367      0.3208      1.796       74.33       18.58       0.008924    0.8         1.142       0.3463      
1.422       68.07       0.9502      0.4262      1.918       61.81       15.45       0.009751    0.8176      0.26        0.8048      
0.6889      74.65       0.982       0.429       1.388       27.36       6.841       0.009731    0.7828      0.7166      0.1173      
0.5101      52.84       0.9459      0.4901      1.927       42.53       10.63       0.007213    0.7838      0.1601      0.3027      
2.366       41.64       0.9422      0.2588      1.698       75.47       18.87       0.009184    0.7378      0.1851      0.6323      
1.819       52.99       0.9411      0.1511      1.381       39.51       9.878       0.007043    0.636       1.489       0.7289      
0.7548      34.15       0.9495      0.2672      1.242       52.44       13.11       0.01031     0.6485      0.8964      0.2512      
0.5599      9.244       0.9464      0.2078      1.696       48.29       12.07       0.003712    0.7344      0.2052      0.7269      
0.4773      38.97       0.9633      0.283       2.031       40.66       10.17       0.008577    0.8335      1.325       0.5875      
2.631       56.04       0.9291      0.4276      2.008       44.1        11.03       0.005331    0.6704      0.4284      0.3862      
0.9163      34.12       0.9679      0.4421      1.776       67.73       16.93       0.0054      0.8331      0.3415      0.6751      
2.179       54.68       0.9327      0.3321      1.992       63.39       15.85       0.006808    0.6861      1.08        0.2268      
2.304       62.36       0.9244      0.3541      1.488       36.91       9.227       0.007132    0.7614      0.9884      0.4115      
0.5746      41.94       0.9611      0.402       1.507       55.58       13.89       0.00825     0.8039      1.206       0.9028      
0.5085      24.57       0.9695      0.1767      1.234       75.15       18.79       0.004113    0.7301      1.864       0.5647      
3.392       47.81       0.9253      0.1557      1.874       44.34       11.09       0.008235    0.6989      0.9028      0.4279      
0.7764      37.5        0.9435      0.3335      1.821       66.87       16.72       0.008014    0.7391      0.6384      0.5554      
1.021       17.54       0.9535      0.4251      1.41        63.52       15.88       0.006482    0.6245      1.466       0.7179      
1.261       57.44       0.9324      0.4044      1.333       48.91       12.23       0.009108    0.6749      1.432       0.114       
1.859       40.89       0.956       0.1543      1.325       47.7        11.93       0.004486    0.7088      0.2875      0.6536      
1.963       61.88       0.937       0.191       1.891       59.2        14.8        0.008484    0.8219      0.4899      0.2158      
1.382       72.87       0.9426      0.4043      1.976       46.52       11.63       0.007523    0.7231      0.9665      0.4526      
1.771       14.3        0.9481      0.2592      1.665       42.97       10.74       0.008981    0.6758      0.3508      0.4357      
0.8788      14.33       0.9772      0.4355      1.529       83.65       20.91       0.003981    0.63        1.538       0.8712      
1.236       21.41       0.9374      0.3007      2.073       49.6        12.4        0.004185    0.7711      0.4511      0.1826      
0.576       72.23       0.9455      0.4958      1.678       55.89       13.97       0.01024     0.6175      0.4052      0.8213      
0.5203      7.916       0.9451      0.221       1.89        73.55       18.39       0.01013     0.6153      0.2769      0.4922      
1.233       49.16       0.9735      0.2169      1.29        75.62       18.91       0.005008    0.7582      1.087       0.2295      
2.59        68.1        0.9464      0.1173      1.792       43.99       11          0.006895    0.7501      0.7747      0.3974      
0.5382      15.84       0.9652      0.4055      1.534       65.18       16.29       0.006591    0.6435      1.169       0.3198      
3.21        17.35       0.929       0.4372      1.895       59.07       14.77       0.005696    0.6904      1.039       0.5201      
2           35.79       0.9292      0.4405      1.841       51.12       12.78       0.007062    0.7501      0.6864      0.7526      
0.7368      70.78       0.9748      0.1842      1.553       27.42       6.855       0.004743    0.7465      0.8708      0.3523      
1.429       16.98       0.9574      0.4001      1.718       58.4        14.6        0.006935    0.6277      0.3768      0.8718      
4.313       29.6        0.8937      0.4275      1.725       34.63       8.657       0.006036    0.7119      0.7604      0.3312      
2.085       19.76       0.954       0.133       1.946       44.06       11.01       0.008012    0.7864      0.4298      0.7274      
3.526       28.34       0.9128      0.381       1.601       60.02       15          0.005951    0.7554      0.5308      0.5472      
0.9382      21.08       0.9649      0.1108      1.468       65.82       16.45       0.003841    0.6338      1.118       0.5814      
3.087       22.07       0.929       0.2378      1.38        74.88       18.72       0.004284    0.7023      0.4652      0.3482      
1.381       30.52       0.9463      0.3012      1.701       43.37       10.84       0.004452    0.7486      0.808       0.6967      
0.6364      70.13       0.9823      0.4581      1.295       30.86       7.715       0.008919    0.6158      0.6075      0.2614      
2.306       55.59       0.9209      0.1462      1.724       59.59       14.9        0.006055    0.7793      0.867       0.2044      
2.569       18.06       0.9187      0.4465      1.374       72.54       18.14       0.008351    0.639       1.237       0.2332      
1.689       23.67       0.9652      0.4846      1.829       33.37       8.343       0.00821     0.695       0.2547      0.5542      
1.115       15.98       0.9476      0.4776      1.625       59.99       15          0.007322    0.7449      0.9669      0.7499      
1.509       12.69       0.9619      0.478       2.03        39.31       9.827       0.003492    0.7762      0.6625      0.2292      
0.4397      32.67       0.9889      0.2676      2.083       42.95       10.74       0.005282    0.6884      0.9419      0.8788      
2.235       20.06       0.9318      0.1661      1.383       57.17       14.29       0.005755    0.6611      0.2967      0.6269      
1.204       38.22       0.975       0.4757      2.04        68.1        17.03       0.005035    0.6623      0.853       0.1143      
0.3816      68.69       0.9542      0.3651      1.968       38.85       9.711       0.003635    0.6343      0.8626      0.3892      
1.049       70.02       0.9405      0.3222      1.925       68.73       17.18       0.007306    0.7801      1.417       0.3354      
1.827       21.21       0.9329      0.2476      2.021       70.17       17.54       0.005024    0.8176      1.357       0.5371      
3.246       42.09       0.906       0.4776      1.918       35.12       8.78        0.007726    0.6753      0.9921      0.4611      
4.738       46          0.9015      0.1455      1.82        47.23       11.81       0.006725    0.7494      0.4236      0.6871      
0.1949      61.75       0.9728      0.4161      1.908       48.78       12.19       0.003202    0.7973      0.0278      0.5493      
0.3125      13.82       0.9591      0.4463      1.835       86.41       21.6        0.006768    0.7642      0.4259      0.9495      
3.908       44.93       0.8948      0.2662      1.731       43.38       10.84       0.006616    0.694       0.9244      0.6321      
0.3064      55.22       0.9524      0.127       1.404       29.7        7.426       0.008981    0.7077      1.377       0.4525      
1.582       53.32       0.9677      0.1778      2.057       76.88       19.22       0.006882    0.7747      1.575       0.8444      
0.8597      70.48       0.9376      0.2089      1.908       39.81       9.952       0.006013    0.8075      1.447       0.3178      
0.1869      18.78       0.98        0.1444      1.906       30.96       7.741       0.003792    0.6032      1.308       0.2414      
1.862       46.43       0.9536      0.4885      1.996       49.1        12.27       0.004532    0.7623      1.468       0.3131      
1.044       33.3        0.9786      0.4456      1.746       41.92       10.48       0.009883    0.7842      0.7552      0.3641      
1.207       30.63       0.9696      0.4214      1.865       59.16       14.79       0.009206    0.7589      1.135       0.9325      
0.3617      55.01       0.9678      0.4304      1.429       73.49       18.37       0.01035     0.6442      0.5167      0.8885      
4.09        52.65       0.8985      0.4071      1.497       45.33       11.33       0.007033    0.7172      0.3389      0.6122      
0.6541      31.29       0.9428      0.3347      1.76        84.02       21          0.003665    0.7919      1.128       0.89        
1.53        10.72       0.9616      0.4478      1.952       61.96       15.49       0.005628    0.6557      0.5177      0.8222      
0.5306      49.91       0.9845      0.4697      1.584       43.13       10.78       0.006412    0.7051      0.3914      0.6566      
0.3933      32.64       0.9788      0.43        1.385       40.71       10.18       0.005748    0.6696      1.459       0.5962      
1.292       59.75       0.9672      0.4969      1.785       42.16       10.54       0.004403    0.7164      0.3473      0.2851      
1.649       65.05       0.9317      0.2425      1.445       78.47       19.62       0.006642    0.7416      0.4019      0.69        
1.017       9.879       0.967       0.2893      2.066       53.64       13.41       0.004065    0.6439      0.8818      0.3782      
1.129       71.42       0.95        0.2832      1.959       35.55       8.888       0.005787    0.8304      1.465       0.9037      
1.186       11.27       0.9481      0.1671      1.58        47.53       11.88       0.00779     0.7487      1.136       0.8782      
1.464       30.42       0.9689      0.4084      2           33.7        8.424       0.006422    0.8163      0.08627     0.3786      
1.183       23.19       0.9704      0.3054      2.102       61.67       15.42       0.00868     0.7464      0.9969      0.1925      
2.951       30.18       0.9144      0.1871      1.719       64.66       16.17       0.00577     0.7856      0.0861      0.3058      
1.227       57.8        0.9377      0.1838      1.781       32.97       8.242       0.004853    0.797       1.066       0.2236      
3.283       29.59       0.9152      0.2914      1.567       49.59       12.4        0.006955    0.8036      0.6761      0.5458      
0.7339      57.43       0.9504      0.3307      1.499       74.43       18.61       0.004544    0.7309      0.0741      0.6576      
4.237       35.16       0.8995      0.4059      1.88        47.56       11.89       0.007824    0.791       0.3343      0.4506      
0.848       37.5        0.9472      0.2276      1.955       25.15       6.289       0.003237    0.7919      0.7326      0.672       
4.25        43.04       0.9009      0.2368      1.763       38.1        9.525       0.00615     0.802       0.9029      0.7777      
1.192       14.48       0.9726      0.3852      1.297       31.07       7.768       0.009084    0.648       1.145       0.2167      
2.503       67.49       0.946       0.286       1.618       54.15       13.54       0.005551    0.7905      1.146       0.632       
1.612       52.06       0.9588      0.1586      1.733       29.65       7.412       0.005888    0.8245      0.052       0.5915      
3.617       42.47       0.9222      0.2738      1.463       57.25       14.31       0.00475     0.7547      0.3201      0.2569      
0.3967      38.17       0.9485      0.3603      1.242       36.76       9.189       0.004008    0.6526      0.08477     0.1695      
1.25        11.11       0.9495      0.2398      1.952       53.07       13.27       0.004673    0.7811      1.589       0.5386      
0.3922      75.61       0.9678      0.2103      1.54        32.76       8.19        0.004737    0.6223      1.795       0.2385      
0.7375      32.21       0.9666      0.3265      1.442       24.63       6.157       0.003873    0.6159      1.194       0.5435      
0.5673      24.66       0.9535      0.4263      1.471       43.77       10.94       0.006969    0.6633      1.246       0.1495      
1.029       67.11       0.9541      0.103       1.956       32.48       8.121       0.00618     0.6879      1.624       0.6003      
1.719       58.97       0.9277      0.3834      1.441       34.64       8.659       0.008982    0.7483      0.02141     0.2822      
4.192       44.71       0.8946      0.1659      1.348       44.71       11.18       0.005679    0.6823      0.09928     0.5063      
0.7847      22.82       0.9433      0.1011      2.023       65.64       16.41       0.007027    0.7146      0.6359      0.6348      
0.9275      47.31       0.9421      0.2423      1.587       66.82       16.71       0.006957    0.7078      0.07766     0.6557      
2.35        33.62       0.9464      0.4604      1.977       40.03       10.01       0.009258    0.7818      0.0693      0.3014      
2.011       28.87       0.9527      0.3879      1.96        72.68       18.17       0.006049    0.709       0.3653      0.3127      
2.726       35.51       0.9433      0.4268      1.758       59.11       14.78       0.005378    0.6715      1.424       0.5012      
0.5223      44.48       0.9583      0.2464      1.431       31.83       7.957       0.006131    0.7658      1.67        0.7268      
2.216       29.27       0.9176      0.1449      1.827       72.86       18.22       0.007508    0.7859      0.2055      0.426       
0.9464      26.01       0.9741      0.4085      1.767       67.98       16.99       0.009764    0.8248      0.7452      0.6827      
0.4366      20.33       0.9482      0.239       1.998       38.83       9.707       0.00449     0.7789      1.176       0.4645      
0.9049      74          0.9376      0.3499      1.237       29.06       7.266       0.008721    0.6885      1.768       0.2272      
0.3704      65.76       0.964       0.3494      1.764       53.93       13.48       0.007849    0.7158      0.6807      0.5399      
2.201       63.19       0.942       0.248       1.697       75.89       18.97       0.003534    0.7722      1.193       0.8         
1.685       36.11       0.9627      0.4472      2.079       37.42       9.356       0.008794    0.7452      1.107       0.7412      
0.1691      66.2        0.9543      0.4829      1.702       79.66       19.92       0.009657    0.7151      1.661       0.1071      
